               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1272,           0.0072514,            0.029508,           0.0012851,               0.375,           0.0028661,          0.00040971,             0.13092,           0.0037429,            0.028565,              0.0991,              0.0001,              0.0001
                   1,             0.12603,           0.0088773,            0.030592,           0.0013572,                 0.4,           0.0032113,          0.00042112,             0.12952,           0.0039369,            0.028502,            0.097285,          0.00028515,          0.00028515
                   2,             0.12441,            0.010336,            0.029418,           0.0012517,               0.375,           0.0029498,          0.00047704,             0.12748,           0.0042167,            0.028469,            0.095451,           0.0004505,           0.0004505
                   3,              0.1226,            0.010168,            0.028756,           0.0013291,                 0.4,           0.0033073,          0.00049187,              0.1247,           0.0045855,              0.0284,            0.093596,          0.00059605,          0.00059605
                   4,             0.12048,            0.011442,            0.029862,           0.0014076,               0.425,           0.0027529,          0.00044323,             0.12059,           0.0051536,             0.02827,            0.091722,           0.0007218,           0.0007218
                   5,             0.11619,            0.012123,            0.029157,           0.0024046,               0.725,           0.0064221,          0.00091934,             0.11594,           0.0057997,             0.02813,            0.089828,          0.00082775,          0.00082775
                   6,             0.11424,            0.013049,            0.028999,           0.0025802,               0.775,           0.0083638,           0.0014695,             0.11242,           0.0062587,            0.027993,            0.087914,           0.0009139,           0.0009139
                   7,             0.11304,            0.014406,            0.029143,           0.0025097,                0.75,           0.0096064,           0.0021374,             0.11014,           0.0065216,            0.027884,             0.08598,          0.00098025,          0.00098025
                   8,             0.10801,            0.016052,            0.029067,           0.0027578,               0.825,            0.012084,           0.0023232,             0.10689,           0.0069399,            0.027888,            0.084027,           0.0010268,           0.0010268
                   9,             0.10605,            0.013339,            0.028319,           0.0032603,               0.975,            0.015579,           0.0028232,             0.10459,           0.0071842,            0.028667,            0.082054,           0.0010536,           0.0010536
                  10,             0.10569,            0.016595,            0.028423,           0.0032501,               0.975,            0.013657,            0.002797,             0.10145,           0.0075501,            0.028893,            0.080061,           0.0010605,           0.0010605
                  11,             0.10335,            0.017647,            0.028216,           0.0032522,               0.975,            0.016055,           0.0033195,             0.10009,              0.0077,            0.028812,            0.078048,           0.0010477,           0.0010477
                  12,             0.10197,            0.016388,            0.028771,           0.0031649,                0.95,            0.014477,           0.0032627,            0.098384,           0.0079044,            0.028799,            0.076015,            0.001015,            0.001015
                  13,              0.1009,            0.015516,            0.027895,           0.0033399,                   1,            0.013477,           0.0032342,            0.096612,           0.0081104,            0.028694,            0.073963,          0.00096255,          0.00096255
                  14,             0.10268,            0.015824,            0.027922,           0.0033402,                   1,            0.013384,           0.0033926,             0.09539,           0.0082754,            0.028564,             0.07189,           0.0008903,           0.0008903
                  15,              0.1002,             0.01603,            0.028471,           0.0033419,                   1,            0.013255,           0.0032608,            0.094188,            0.008453,            0.028358,            0.069798,          0.00079825,          0.00079825
                  16,            0.098139,            0.016408,            0.027652,           0.0033418,                   1,            0.012573,           0.0031001,            0.092954,           0.0086304,            0.028073,            0.067686,           0.0006864,           0.0006864
                  17,            0.097727,            0.015662,            0.027414,           0.0032536,               0.975,             0.01393,           0.0031394,            0.091835,           0.0088053,            0.027804,            0.065555,          0.00055475,          0.00055475
                  18,            0.096827,            0.014079,            0.028014,           0.0032518,               0.975,            0.013329,           0.0032596,            0.090398,           0.0090313,            0.027556,            0.063403,           0.0004033,           0.0004033
                  19,            0.096859,            0.017179,            0.027561,           0.0032509,               0.975,            0.012473,           0.0033914,            0.089411,           0.0091969,            0.027333,            0.061232,          0.00023205,          0.00023205
